,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3604,0.726,0.508,1,-7.67,1,0.0869,0.00124,0.0,0.204,0.173,149.979,audio_features,6x3gud5JkOSGYJpRUYN1Gg,spotify:track:6x3gud5JkOSGYJpRUYN1Gg,https://api.spotify.com/v1/tracks/6x3gud5JkOSGYJpRUYN1Gg,https://api.spotify.com/v1/audio-analysis/6x3gud5JkOSGYJpRUYN1Gg,216013,4
3605,0.902,0.669,1,-5.049,1,0.457,0.161,0.0,0.0728,0.628,139.949,audio_features,0cu0rhnlCnJ7JIeHRiLpj3,spotify:track:0cu0rhnlCnJ7JIeHRiLpj3,https://api.spotify.com/v1/tracks/0cu0rhnlCnJ7JIeHRiLpj3,https://api.spotify.com/v1/audio-analysis/0cu0rhnlCnJ7JIeHRiLpj3,112547,4
3606,0.546,0.64,8,-5.582,1,0.37,0.0438,0.0,0.137,0.63,137.728,audio_features,6LNoArVBBVZzUTUiAX2aKO,spotify:track:6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/tracks/6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/audio-analysis/6LNoArVBBVZzUTUiAX2aKO,339250,4
3607,0.672,0.58,2,-5.66,1,0.234,0.0934,0.0,0.103,0.116,111.55,audio_features,5gcsJvWzuPMeJBQYdiO0RS,spotify:track:5gcsJvWzuPMeJBQYdiO0RS,https://api.spotify.com/v1/tracks/5gcsJvWzuPMeJBQYdiO0RS,https://api.spotify.com/v1/audio-analysis/5gcsJvWzuPMeJBQYdiO0RS,177731,3
3608,0.677,0.557,1,-8.409,1,0.0694,0.00508,8.36e-06,0.0984,0.1,150.127,audio_features,62Yo3FDddWY8ydu6PW2wyz,spotify:track:62Yo3FDddWY8ydu6PW2wyz,https://api.spotify.com/v1/tracks/62Yo3FDddWY8ydu6PW2wyz,https://api.spotify.com/v1/audio-analysis/62Yo3FDddWY8ydu6PW2wyz,206385,4
3609,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,audio_features,1zzxoZVylsna2BQB65Ppcb,spotify:track:1zzxoZVylsna2BQB65Ppcb,https://api.spotify.com/v1/tracks/1zzxoZVylsna2BQB65Ppcb,https://api.spotify.com/v1/audio-analysis/1zzxoZVylsna2BQB65Ppcb,217587,4
3610,0.763,0.709,9,-5.748,1,0.199,0.00815,0.0,0.123,0.277,160.16,audio_features,0UmMT7DNXCOJvSmXXGNG5b,spotify:track:0UmMT7DNXCOJvSmXXGNG5b,https://api.spotify.com/v1/tracks/0UmMT7DNXCOJvSmXXGNG5b,https://api.spotify.com/v1/audio-analysis/0UmMT7DNXCOJvSmXXGNG5b,132750,4
3611,0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,audio_features,28qA8y1sz0FTuSapsCxNOG,spotify:track:28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/tracks/28qA8y1sz0FTuSapsCxNOG,https://api.spotify.com/v1/audio-analysis/28qA8y1sz0FTuSapsCxNOG,222497,4
3612,0.574,0.736,5,-4.743,1,0.0465,0.146,1.66e-05,0.407,0.344,138.501,audio_features,5XFoaqV1Z8XaLJidchVWhh,spotify:track:5XFoaqV1Z8XaLJidchVWhh,https://api.spotify.com/v1/tracks/5XFoaqV1Z8XaLJidchVWhh,https://api.spotify.com/v1/audio-analysis/5XFoaqV1Z8XaLJidchVWhh,328573,4
3613,0.78,0.494,1,-10.97,1,0.251,0.0955,1.34e-05,0.23,0.298,135.013,audio_features,6EqF11d0EPJwVynLXu3gvY,spotify:track:6EqF11d0EPJwVynLXu3gvY,https://api.spotify.com/v1/tracks/6EqF11d0EPJwVynLXu3gvY,https://api.spotify.com/v1/audio-analysis/6EqF11d0EPJwVynLXu3gvY,227556,4
3614,0.732,0.734,11,-7.968,1,0.0974,0.136,0.000901,0.165,0.488,145.722,audio_features,6f44p3Kc4ayD9VtbC9Clkr,spotify:track:6f44p3Kc4ayD9VtbC9Clkr,https://api.spotify.com/v1/tracks/6f44p3Kc4ayD9VtbC9Clkr,https://api.spotify.com/v1/audio-analysis/6f44p3Kc4ayD9VtbC9Clkr,199500,4
3615,0.84,0.565,10,-6.473,0,0.163,0.0475,0.00536,0.109,0.637,147.988,audio_features,3l6D0NUQn6Ttyz5ePSPk5w,spotify:track:3l6D0NUQn6Ttyz5ePSPk5w,https://api.spotify.com/v1/tracks/3l6D0NUQn6Ttyz5ePSPk5w,https://api.spotify.com/v1/audio-analysis/3l6D0NUQn6Ttyz5ePSPk5w,195349,4
3616,0.822,0.627,7,-5.826,0,0.126,0.143,0.0,0.146,0.5,120.057,audio_features,5MA0iU2dyAFwWUzfyrk2di,spotify:track:5MA0iU2dyAFwWUzfyrk2di,https://api.spotify.com/v1/tracks/5MA0iU2dyAFwWUzfyrk2di,https://api.spotify.com/v1/audio-analysis/5MA0iU2dyAFwWUzfyrk2di,216707,4
3617,0.522,0.614,6,-6.893,0,0.366,0.339,0.0,0.166,0.12,95.282,audio_features,53NLq6SSyKSkLBdWkoYrE7,spotify:track:53NLq6SSyKSkLBdWkoYrE7,https://api.spotify.com/v1/tracks/53NLq6SSyKSkLBdWkoYrE7,https://api.spotify.com/v1/audio-analysis/53NLq6SSyKSkLBdWkoYrE7,206627,4
