,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
1038,0.163,0.021,5,-26.363,1,0.0478,0.955,0.884,0.0868,0.0367,129.627,145173,4,39
1039,0.432,0.962,2,-5.697,0,0.0951,2.02e-05,4.01e-05,0.423,0.181,111.95,328133,4,34
1040,0.503,0.994,9,-3.307,0,0.186,0.00225,0.801,0.221,0.226,150.021,226147,4,37
1041,0.528,0.903,5,-2.663,0,0.0735,0.00597,3.95e-06,0.102,0.523,121.06,182479,4,35
1042,0.122,0.118,4,-19.437,1,0.0378,0.817,0.85,0.0733,0.0398,79.239,726892,4,41
1043,0.492,0.553,9,-8.6,1,0.0397,0.406,0.000105,0.163,0.431,125.936,167200,4,36
1044,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,236293,4,78
1045,0.173,0.926,2,-4.027,1,0.132,0.000713,0.043,0.291,0.0703,201.231,235640,4,48
1046,0.257,0.109,7,-21.356,1,0.0597,0.9,0.867,0.0762,0.307,75.02,151480,4,63
1047,0.563,0.923,9,-3.162,1,0.059,0.000738,0.0,0.0885,0.14,118.07,227797,4,43
1048,0.0967,0.817,10,-6.313,1,0.0493,1.24e-05,0.45,0.139,0.425,72.927,345400,3,23
1049,0.598,0.75,0,-6.76,1,0.0433,0.00599,0.000789,0.117,0.833,132.418,265400,4,46
1050,0.545,0.717,3,-6.869,1,0.036,0.00417,0.406,0.136,0.589,118.515,239621,4,52
1051,0.358,0.938,0,-5.577,1,0.0483,0.00375,9.2e-06,0.117,0.944,182.836,288339,4,68
1052,0.506,0.948,10,-5.626,1,0.105,0.727,0.0,0.0904,0.934,130.195,160400,4,56
