,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
144,0.492,0.553,9,-8.6,1,0.0397,0.406,0.000105,0.163,0.431,125.936,audio_features,0wwbxSLnXXws3sD0AKMfUT,spotify:track:0wwbxSLnXXws3sD0AKMfUT,https://api.spotify.com/v1/tracks/0wwbxSLnXXws3sD0AKMfUT,https://api.spotify.com/v1/audio-analysis/0wwbxSLnXXws3sD0AKMfUT,167200,4
145,0.543,0.395,9,-11.396,1,0.0267,0.701,4.24e-05,0.0961,0.231,94.872,audio_features,14CsqOaDkOkrZ49UJLtuOJ,spotify:track:14CsqOaDkOkrZ49UJLtuOJ,https://api.spotify.com/v1/tracks/14CsqOaDkOkrZ49UJLtuOJ,https://api.spotify.com/v1/audio-analysis/14CsqOaDkOkrZ49UJLtuOJ,340560,3
146,0.439,0.795,2,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,audio_features,11Wda6v2dXnklOQYnJANjs,spotify:track:11Wda6v2dXnklOQYnJANjs,https://api.spotify.com/v1/tracks/11Wda6v2dXnklOQYnJANjs,https://api.spotify.com/v1/audio-analysis/11Wda6v2dXnklOQYnJANjs,212067,4
147,0.463,0.926,7,-3.204,1,0.122,0.0555,0.0,0.478,0.437,91.197,audio_features,0lGEWOZvMexZFXckBJxlVO,spotify:track:0lGEWOZvMexZFXckBJxlVO,https://api.spotify.com/v1/tracks/0lGEWOZvMexZFXckBJxlVO,https://api.spotify.com/v1/audio-analysis/0lGEWOZvMexZFXckBJxlVO,284987,4
148,0.603,0.506,9,-9.531,1,0.0391,0.213,0.0,0.0553,0.735,124.953,audio_features,2RGoQSyesiUe15WN5ybjKw,spotify:track:2RGoQSyesiUe15WN5ybjKw,https://api.spotify.com/v1/tracks/2RGoQSyesiUe15WN5ybjKw,https://api.spotify.com/v1/audio-analysis/2RGoQSyesiUe15WN5ybjKw,191493,4
149,0.349,0.575,5,-12.029,1,0.0546,0.0064,0.242,0.122,0.565,97.236,audio_features,358jMpTqOfIOYjpcg2Ig2j,spotify:track:358jMpTqOfIOYjpcg2Ig2j,https://api.spotify.com/v1/tracks/358jMpTqOfIOYjpcg2Ig2j,https://api.spotify.com/v1/audio-analysis/358jMpTqOfIOYjpcg2Ig2j,256000,4
150,0.311,0.775,2,-12.683,1,0.076,0.506,0.0,0.897,0.477,121.352,audio_features,2j25bv2cpByJLaNZRKEBwR,spotify:track:2j25bv2cpByJLaNZRKEBwR,https://api.spotify.com/v1/tracks/2j25bv2cpByJLaNZRKEBwR,https://api.spotify.com/v1/audio-analysis/2j25bv2cpByJLaNZRKEBwR,350053,4
151,0.213,0.866,0,-7.612,1,0.0488,0.012,0.677,0.101,0.487,145.944,audio_features,2kAs1dd5RRtwPmPLG61kbF,spotify:track:2kAs1dd5RRtwPmPLG61kbF,https://api.spotify.com/v1/tracks/2kAs1dd5RRtwPmPLG61kbF,https://api.spotify.com/v1/audio-analysis/2kAs1dd5RRtwPmPLG61kbF,254746,4
152,0.544,0.341,0,-10.34,1,0.0293,0.877,0.0493,0.183,0.566,123.598,audio_features,3pYM1COOgzTV1QUokz2BSX,spotify:track:3pYM1COOgzTV1QUokz2BSX,https://api.spotify.com/v1/tracks/3pYM1COOgzTV1QUokz2BSX,https://api.spotify.com/v1/audio-analysis/3pYM1COOgzTV1QUokz2BSX,174187,3
153,0.675,0.444,6,-11.795,1,0.0711,0.842,0.0,0.139,0.65,137.951,audio_features,7IyDLBtIXS2EKZEt8trS03,spotify:track:7IyDLBtIXS2EKZEt8trS03,https://api.spotify.com/v1/tracks/7IyDLBtIXS2EKZEt8trS03,https://api.spotify.com/v1/audio-analysis/7IyDLBtIXS2EKZEt8trS03,207240,4
