,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:0hyjxXkT5neqnNmJUVjtD4,46,Aryia,2009
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3wnVGG4XF8VbhdfvY8hd1F,48,Cameron Sanderson,Deadzone
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2I2fsIg0aSPmstuuaBcEIW,53,Loveless,"If You Have My Voodoo Doll, Give Me a Hug"
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2XnXc7VrwyQzy5ddfKe5Qo,47,Hot Milk,Teenage Runaways
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2u1I5zNsB0FzoVhuzCCszK,52,RØRY,UNCOMPLICATED
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6VL1ikOTJscKBHRgV686ug,42,Real Friends,Remedy for Reality
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5Wb2OkliDE5wqNNiAy8E4B,37,Aaron Taos,punk chick
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:1GlaDUecMXdHig5D1tgY8p,52,Jasiah,Right Now (feat. Travis Barker)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:28RPEcjNNGKRdbTygQ7WoH,53,State Champs,Outta My Head
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3uSIJGEiXmRYaSURiDbp2P,41,lleo,serotonin
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3tBZ60j1jQ7NJm8IjelyQe,73,Machine Gun Kelly,emo girl (feat. WILLOW)
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5pgOXFPQROrmboHmcTYonC,39,Charlotte Sands,Every Guy Ever
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:0pUNyIK9UsvFpXHbJ6gunK,48,"Chunk! No, Captain Chunk!",Bitter
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:1rCQdw3dnvVexJwu1c7EAL,45,Mom Jeans.,What's Up?
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:4lanb9IYNnwzlQd9XmTjju,40,7evin7ins,Wake Up
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:66MvNxKQGPQS0AUeaoYlcn,56,Stand Atlantic,hair out
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6VTzauIrG2hjKtKFYFJfMT,54,LØLØ,debbie downer
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5HthgwQJXeulWos92AfIrg,48,Loveless,sorry i'm a downer
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:0w8aZyDeFw67itdrjqy6O3,39,MxPx,Say Yes
